feature,point_biserial_r,p_value
recencia_pre,0.45293598968948984,8.421674944933839e-96
num_temporadas_activas_pre,-0.3053100430351702,7.13880583026496e-42
meses_activo_pre,-0.28206084347224347,9.692742674641269e-36
ops_y2024,-0.24236574685704995,1.5013950880278975e-26
num_modelos_distintos_pre,-0.22672228545750406,2.363561871081234e-23
num_skus_pre,-0.1985694222369282,3.528943279957644e-18
num_operaciones_pre,-0.17796940194420252,7.506597974555708e-15
num_pedidos_b2b_pre,-0.1684542528358058,1.9279773930467922e-13
ops_y2023,-0.14355451527179847,3.992739512837679e-10
num_canales_pre,-0.14212193209120197,5.968791812949023e-10
ops_y2022,-0.12697373281878357,3.283028576274982e-08
antiguedad_pre,-0.10592945865111378,4.14217277383092e-06
pct_operaciones_rebajas_pre,-0.09989122595130635,1.4228083610774935e-05
fact_y2024,-0.07902690864043961,0.0006024165050175853
pct_ratio_devoluciones_pre,0.07560445654617656,0.001032490106593414
tendencia_ops_24_vs_23,-0.0719056935971967,0.0018051210031444628
tendencia_fact_24_vs_23,-0.06102221700853781,0.008114410570971542
facturacion_b2b_pre,-0.0587654226212061,0.010797206182221918
frecuencia_mensual_pre,-0.05854029698970343,0.011103899728293794
facturacion_retail_pre,-0.05769150316014104,0.012330906512844374
importe_devoluciones_pre,0.05702322283729528,0.013379895822249558
unidades_pre,-0.0502968323409182,0.02915907714496538
fact_y2023,-0.0483047274889661,0.03618608289902971
unidades_devueltas_pre,0.04307311018876558,0.06180010731836959
fact_y2022,-0.04011772300404596,0.08195226081072358
pct_operaciones_pv_pre,-0.038618779226348536,0.09404673588884949
es_cuenta_corporativa,0.035650347431359065,0.12219231245746923
C0_C5_pen_provincia,0.03331022423421689,0.14870483767923567
C0_pen_provincia,0.031174479246486583,0.1765409689063396
renta_media,-0.019629700911448444,0.3948438320470334
es_cliente_espanol,-0.017586804615489254,0.44588075027667257
ticket_medio_retail_pre,0.017017908249908238,0.4607345060362351
mosaic_grupo_peso,-0.016009732057511373,0.48772426441895284
mosaic_segmento_peso,-0.012050539314349285,0.6014549106365707
ticket_medio_b2b_pre,-0.002711489678021991,0.9064474432794042
